ENSG00000280305,36399_at
ENSG00000274173,38850_at
ENSG00000189298,33952_at
ENSG00000189298,33952_at
ENSG00000189298,33952_at
ENSG00000236534,254_at
ENSG00000143797,38262_at
ENSG00000124557,36335_at
ENSG00000124557,36335_at
ENSG00000103375,33651_at
ENSG00000082556,35024_at
ENSG00000103375,33651_at
ENSG00000082556,35024_at
ENSG00000082556,35024_at
ENSG00000082556,35024_at
ENSG00000082556,35024_at
ENSG00000082556,35024_at
ENSG00000204632,40369_f_at
ENSG00000204632,40370_f_at
ENSG00000204632,40369_f_at
ENSG00000204632,40370_f_at
ENSG00000204632,40369_f_at
ENSG00000204632,40370_f_at
ENSG00000204632,40369_f_at
ENSG00000204632,40370_f_at
ENSG00000204632,40369_f_at
ENSG00000204632,40370_f_at
ENSG00000204632,40369_f_at
ENSG00000204632,40370_f_at
ENSG00000250138,40553_at
ENSG00000253203,32921_at
ENSG00000253203,32921_at
ENSG00000088812,33427_s_at
ENSG00000088812,33428_s_at
ENSG00000088812,33722_at
ENSG00000088812,33427_s_at
ENSG00000088812,33428_s_at
ENSG00000134057,34736_at
ENSG00000134057,1945_at
ENSG00000134057,34736_at
ENSG00000134057,1945_at
ENSG00000134057,34736_at
ENSG00000134057,34736_at
ENSG00000134057,1945_at
ENSG00000125851,41020_at
ENSG00000125851,41020_at
ENSG00000134057,34736_at
ENSG00000134057,1945_at
ENSG00000134057,1945_at
ENSG00000270983,34814_at
ENSG00000125851,41020_at
ENSG00000276409,33790_at
ENSG00000135312,775_at
ENSG00000135312,35503_at
ENSG00000101346,41150_r_at
ENSG00000276409,33790_at
ENSG00000276409,33790_at
ENSG00000115844,34585_at
ENSG00000115844,34586_s_at
ENSG00000276409,33790_at
ENSG00000115844,34586_s_at
ENSG00000127540,38451_at
ENSG00000213689,34689_at
ENSG00000127540,38451_at
ENSG00000242173,32499_at
ENSG00000127540,38451_at
ENSG00000213689,34689_at
ENSG00000127540,38451_at
ENSG00000213689,34689_at
ENSG00000213689,34689_at
ENSG00000213689,34689_at
ENSG00000213689,34689_at
ENSG00000129355,1797_at
ENSG00000185885,675_at
ENSG00000185885,676_g_at
ENSG00000213689,34689_at
ENSG00000242173,32499_at
ENSG00000185885,675_at
ENSG00000185885,676_g_at
ENSG00000129355,1797_at
ENSG00000242173,32499_at
ENSG00000185885,675_at
ENSG00000185885,676_g_at
ENSG00000185885,675_at
ENSG00000185885,676_g_at
ENSG00000100362,37613_at
ENSG00000100362,37614_g_at
ENSG00000163206,37436_at
ENSG00000100362,37613_at
ENSG00000100362,37614_g_at
ENSG00000100362,37613_at
ENSG00000100362,37614_g_at
ENSG00000139675,31463_s_at
ENSG00000100362,37613_at
ENSG00000100362,37614_g_at
ENSG00000229023,34392_s_at
ENSG00000100362,37614_g_at
ENSG00000100362,37614_g_at
ENSG00000132109,37126_at
ENSG00000275882,36004_at
ENSG00000146039,35525_at
ENSG00000196639,35384_at
ENSG00000132109,37126_at
ENSG00000196639,35384_at
ENSG00000146039,35525_at
ENSG00000196639,35384_at
ENSG00000146039,35525_at
ENSG00000126890,33637_g_at
ENSG00000126890,34009_at
ENSG00000248769,40553_at
ENSG00000147168,1506_at
ENSG00000201913,32311_r_at
ENSG00000201913,32310_f_at
ENSG00000136732,38119_at
ENSG00000156345,39585_at
ENSG00000126890,33637_g_at
ENSG00000156345,39585_at
ENSG00000264190,31849_at
ENSG00000136732,38119_at
ENSG00000221669,33937_at
ENSG00000221669,33938_g_at
ENSG00000277119,1946_at
ENSG00000136732,38119_at
ENSG00000202503,35119_at
ENSG00000136732,38119_at
ENSG00000123684,34387_at
ENSG00000102243,38249_at
ENSG00000133027,39787_at
ENSG00000102243,38249_at
ENSG00000102243,38249_at
ENSG00000281435,36347_f_at
ENSG00000197766,40282_s_at
ENSG00000263506,1294_at
ENSG00000163444,41128_at
ENSG00000277928,AFFX-HUMRGE/M10098_5_at
ENSG00000207047,35748_at
ENSG00000102243,38249_at
ENSG00000197766,40282_s_at
ENSG00000200983,32436_at
ENSG00000207805,1464_at
ENSG00000280653,37032_at
ENSG00000274417,1752_at
ENSG00000160716,34154_at
ENSG00000147168,1506_at
ENSG00000197857,35408_i_at
ENSG00000197857,35409_r_at
ENSG00000278597,AFFX-M27830_M_at
ENSG00000278597,AFFX-M27830_5_at
ENSG00000202021,32311_r_at
ENSG00000197857,35409_r_at
ENSG00000147168,1506_at
ENSG00000147168,1506_at
ENSG00000133027,39787_at
ENSG00000133027,39787_at
ENSG00000147168,1506_at
ENSG00000269352,39234_at
ENSG00000277105,AFFX-M27830_M_at
ENSG00000222624,36022_at
ENSG00000200879,33820_g_at
ENSG00000200879,40637_at
ENSG00000200879,1180_g_at
ENSG00000274207,34174_s_at
ENSG00000164099,34248_at
ENSG00000164099,34247_at
ENSG00000147168,1506_at
ENSG00000107566,33770_at
ENSG00000107566,36219_at
ENSG00000147168,1506_at
ENSG00000137860,34057_at
ENSG00000101134,40401_at
ENSG00000107566,36219_at
ENSG00000196911,768_at
ENSG00000137860,34057_at
ENSG00000207051,32337_at
ENSG00000211581,39281_at
ENSG00000196911,768_at
ENSG00000196911,768_at
ENSG00000201885,32311_r_at
ENSG00000101134,40401_at
ENSG00000108684,40317_at
ENSG00000207405,31527_at
ENSG00000265543,34160_at
ENSG00000281823,31522_f_at
ENSG00000197919,1666_at
ENSG00000108684,40317_at
ENSG00000148200,35873_at
ENSG00000197919,1666_at
ENSG00000275209,AFFX-M27830_M_at
ENSG00000275209,AFFX-M27830_5_at
ENSG00000059758,39873_at
ENSG00000059758,1222_at
ENSG00000187516,35501_at
ENSG00000059758,1222_at
ENSG00000280826,31528_f_at
ENSG00000059758,1222_at
ENSG00000111348,1984_s_at
ENSG00000111348,1984_s_at
ENSG00000111348,1984_s_at
ENSG00000064835,34013_f_at
ENSG00000064835,34014_f_at
ENSG00000239069,32311_r_at
ENSG00000200874,35933_f_at
ENSG00000139372,40865_at
ENSG00000111348,1984_s_at
ENSG00000229859,36642_at
ENSG00000111348,1984_s_at
ENSG00000221585,35355_at
ENSG00000186204,35492_at
ENSG00000281780,35748_at
ENSG00000064835,34013_f_at
ENSG00000064835,34014_f_at
ENSG00000273709,36398_at
ENSG00000156345,39585_at
ENSG00000064835,34013_f_at
ENSG00000064835,34014_f_at
ENSG00000278045,1683_at
ENSG00000063180,34277_at
ENSG00000064835,34013_f_at
ENSG00000064835,34014_f_at
ENSG00000063180,34277_at
ENSG00000229859,36642_at
ENSG00000063180,34277_at
ENSG00000265929,33999_f_at
ENSG00000265929,34000_r_at
ENSG00000115053,32590_at
ENSG00000229859,36642_at
ENSG00000209482,31722_at
ENSG00000138175,41740_at
ENSG00000138175,36544_at
ENSG00000281117,32276_at
ENSG00000238650,32438_at
ENSG00000238650,327_f_at
ENSG00000130520,32559_s_at
ENSG00000265672,37281_at
ENSG00000047056,35199_at
ENSG00000130520,32559_s_at
ENSG00000100427,36897_at
ENSG00000047056,35199_at
ENSG00000130520,32559_s_at
ENSG00000123636,37915_at
ENSG00000100427,36897_at
ENSG00000141431,35998_at
ENSG00000156345,39585_at
ENSG00000137076,32166_at
ENSG00000156345,39585_at
ENSG00000051620,41454_at
ENSG00000277599,38207_at
ENSG00000273554,40926_at
ENSG00000123636,37915_at
ENSG00000156345,39585_at
ENSG00000273554,40926_at
ENSG00000278144,38207_at
ENSG00000137076,32166_at
ENSG00000276987,34255_at
ENSG00000274750,35598_at
ENSG00000085377,37950_at
ENSG00000175602,41850_s_at
ENSG00000156345,39585_at
ENSG00000130270,33685_at
ENSG00000274452,36398_at
ENSG00000279816,1286_s_at
ENSG00000120833,38994_at
ENSG00000263391,32977_at
ENSG00000156345,39585_at
ENSG00000120833,38994_at
ENSG00000066855,32679_at
ENSG00000265039,35766_at
ENSG00000133027,39787_at
ENSG00000066855,32679_at
ENSG00000133027,39787_at
ENSG00000120833,38994_at
ENSG00000051620,41454_at
ENSG00000120833,38994_at
ENSG00000051620,41454_at
ENSG00000209582,36234_at
ENSG00000142937,31583_at
ENSG00000051620,41454_at
ENSG00000120833,38994_at
ENSG00000266077,34160_at
ENSG00000120833,38994_at
ENSG00000130270,33685_at
ENSG00000200403,32510_at
ENSG00000277578,35240_at
ENSG00000274735,AFFX-M27830_M_at
ENSG00000066855,32679_at
ENSG00000120833,38994_at
ENSG00000130270,33685_at
ENSG00000273927,32311_r_at
ENSG00000130270,33685_at
ENSG00000207496,32276_at
ENSG00000278050,38207_at
ENSG00000272047,39162_at
ENSG00000116957,35159_at
ENSG00000186204,35492_at
ENSG00000267828,32311_r_at
ENSG00000133027,39787_at
ENSG00000275896,32796_f_at
ENSG00000205420,39016_r_at
ENSG00000205420,39015_f_at
ENSG00000162231,35302_at
ENSG00000275896,32796_f_at
ENSG00000115053,32590_at
ENSG00000115053,32590_at
ENSG00000133027,39787_at
ENSG00000115053,32590_at
ENSG00000166866,34595_at
ENSG00000202031,31583_at
