,x
1,1000_at
2,1001_at
3,1002_f_at
4,1003_s_at
5,1004_at
6,1005_at
7,1006_at
8,1007_s_at
9,1008_f_at
10,1009_at
11,100_g_at
12,1010_at
13,1011_s_at
14,1012_at
15,1013_at
16,1014_at
17,1015_s_at
18,1016_s_at
19,1017_at
20,1018_at
21,1019_g_at
22,101_at
23,1020_s_at
24,1021_at
25,1022_f_at
26,1023_at
27,1024_at
28,1025_g_at
29,1026_s_at
30,1027_at
31,1028_at
32,1029_s_at
33,102_at
34,1030_s_at
35,1031_at
36,1032_at
37,1033_g_at
38,1034_at
39,1035_g_at
40,1036_at
41,1037_at
42,1038_s_at
43,1039_s_at
44,103_at
45,1040_s_at
46,1041_at
47,1042_at
48,1043_s_at
49,1044_s_at
50,1045_s_at
51,1046_at
52,1047_s_at
53,1048_at
54,1049_g_at
55,104_at
56,1050_at
57,1051_g_at
58,1052_s_at
59,1053_at
60,1054_at
61,1055_g_at
62,1056_s_at
63,1057_at
64,1058_at
65,1059_at
66,105_at
67,1060_g_at
68,1061_at
69,1062_g_at
70,1063_s_at
71,1064_at
72,1065_at
73,1066_at
74,1067_at
75,1068_g_at
76,1069_at
77,106_at
78,1070_at
79,1071_at
80,1072_g_at
81,1073_at
82,1074_at
83,1075_f_at
84,1076_at
85,1077_at
86,1078_at
87,1079_g_at
88,107_at
89,1080_s_at
90,1081_at
91,1082_at
92,1083_s_at
93,1084_at
94,1085_s_at
95,1086_at
96,1087_at
97,1088_at
98,1089_i_at
99,108_g_at
100,1090_f_at
101,1091_at
102,1092_at
103,1093_at
104,1094_g_at
105,1095_s_at
106,1096_g_at
107,1097_s_at
108,1098_at
109,1099_s_at
110,109_at
111,1100_at
112,1101_at
113,1102_s_at
114,1103_at
115,1104_s_at
116,1105_s_at
117,1106_s_at
118,1107_s_at
119,1108_s_at
120,1109_s_at
121,110_at
122,1110_at
123,1111_at
124,1112_g_at
125,1113_at
126,1114_at
127,1115_at
128,1116_at
129,1117_at
130,1118_at
131,1119_at
132,111_at
133,1120_at
134,1121_g_at
135,1122_f_at
136,1123_at
137,1124_at
138,1125_s_at
139,1126_s_at
140,1127_at
141,1128_s_at
142,1129_at
143,112_g_at
144,1130_at
145,1131_at
146,1132_s_at
147,1133_at
148,1134_at
149,1135_at
150,1136_at
151,1137_at
152,1138_at
153,1139_at
154,113_i_at
155,1140_at
156,1141_at
157,1142_at
158,1143_s_at
159,1144_at
160,1145_g_at
161,1146_at
162,1147_at
163,1148_s_at
164,1149_at
165,114_r_at
166,1150_at
167,1151_at
168,1152_i_at
169,1153_f_at
170,1154_at
171,1155_at
172,1156_at
173,1157_s_at
174,1158_s_at
175,1159_at
176,115_at
177,1160_at
178,1161_at
179,1162_g_at
180,1163_at
181,1164_at
182,1165_at
183,1166_at
184,1167_s_at
185,1168_at
186,1169_at
187,116_at
188,1170_at
189,1171_s_at
190,1172_at
191,1173_g_at
192,1174_at
193,1175_s_at
194,1176_at
195,1177_at
196,1178_at
197,1179_at
198,117_at
199,1180_g_at
200,1181_at
201,1182_at
202,1183_at
203,1184_at
204,1185_at
205,1186_at
206,1187_at
207,1188_g_at
208,1189_at
209,118_at
210,1190_at
211,1191_s_at
212,1192_at
213,1193_at
214,1194_g_at
215,1195_s_at
216,1196_at
217,1197_at
218,1198_at
219,1199_at
220,1200_at
221,1201_at
222,1202_g_at
223,1203_at
224,1204_at
225,1205_at
226,1206_at
227,1207_at
228,1208_at
229,1209_at
230,120_at
231,1210_s_at
232,1211_s_at
233,1212_at
234,1213_at
235,1214_s_at
236,1217_g_at
237,1218_at
238,1219_at
239,121_at
240,1220_g_at
241,1221_at
242,1222_at
243,1223_at
244,1224_at
245,1225_g_at
246,1226_at
247,1227_g_at
248,1228_s_at
249,1229_at
250,122_at
251,1230_g_at
252,1231_at
253,1232_s_at
254,1233_s_at
255,1234_at
256,1235_at
257,1236_s_at
258,1237_at
259,1238_at
260,1239_s_at
261,123_at
262,1240_at
263,1241_at
264,1242_at
265,1243_at
266,1244_at
267,1245_i_at
268,1246_at
269,1247_g_at
270,1248_at
271,1249_at
272,1250_at
273,1251_g_at
274,1252_at
275,1253_at
276,1254_at
277,1255_g_at
278,1256_at
279,1257_s_at
280,1258_s_at
281,1259_at
282,1260_s_at
283,1261_i_at
284,1262_s_at
285,1263_at
286,1264_at
287,1265_g_at
288,1266_s_at
289,1267_at
290,1268_at
291,1269_at
292,126_s_at
293,1270_at
294,1271_g_at
295,1272_at
296,1273_r_at
297,1274_s_at
298,1275_at
299,1276_g_at
300,1277_at
301,1278_at
302,1279_s_at
303,1280_i_at
304,1281_f_at
305,1282_s_at
306,1283_at
307,1284_at
308,1285_at
309,1286_s_at
310,1287_at
311,1288_s_at
312,1289_at
313,128_at
314,1290_g_at
315,1291_s_at
316,1292_at
317,1293_s_at
318,1294_at
319,1295_at
320,1296_at
321,1297_at
322,1298_at
323,1299_at
324,129_g_at
325,1300_at
326,1303_at
327,1304_at
328,1305_s_at
329,1306_at
330,1307_at
331,1308_g_at
332,1309_at
333,130_s_at
334,1310_at
335,1311_at
336,1312_at
337,1313_at
338,1314_at
339,1315_at
340,1316_at
341,1317_at
342,1318_at
343,1319_at
344,131_at
345,1320_at
346,1321_s_at
347,1322_at
348,1323_at
349,1324_at
350,1325_at
351,1326_at
352,1327_s_at
353,1328_at
354,1329_s_at
355,1330_at
356,1331_s_at
357,1332_f_at
358,1333_f_at
359,1334_s_at
360,1335_at
361,1336_s_at
362,1337_s_at
363,1338_s_at
364,1339_s_at
365,133_at
366,1340_s_at
367,1341_at
368,1342_g_at
369,1343_s_at
370,1344_at
371,1345_s_at
372,1346_at
373,1347_at
374,1348_s_at
375,1349_at
376,134_at
377,1350_at
378,1351_at
379,1352_at
380,1353_g_at
381,1354_at
382,1355_g_at
383,1356_at
384,1357_at
385,1358_s_at
386,1359_at
387,135_g_at
388,1360_at
389,1361_at
390,1362_s_at
391,1363_at
392,1364_at
393,1365_at
394,1366_i_at
395,1367_f_at
396,1368_at
397,1369_s_at
398,136_at
399,1370_at
400,1371_s_at
401,1372_at
402,1373_at
403,1374_g_at
404,1375_s_at
405,1376_at
406,1377_at
407,1378_g_at
408,1379_at
409,137_at
410,1380_at
411,1381_at
412,1382_at
413,1383_at
414,1384_at
415,1385_at
416,1386_at
417,1387_at
418,1388_g_at
419,1389_at
420,138_at
421,1390_s_at
422,1391_s_at
423,1392_at
424,1393_at
425,1394_at
426,1395_at
427,1396_at
428,1397_at
429,1398_g_at
430,1399_at
431,139_at
432,1400_at
433,1401_g_at
434,1402_at
435,1403_s_at
436,1404_r_at
437,1405_i_at
438,1406_at
439,1407_g_at
440,1408_at
441,1409_at
442,140_s_at
443,1410_at
444,1411_at
445,1412_g_at
446,1413_at
447,1414_at
448,1415_at
449,1416_g_at
450,1417_at
451,1418_at
452,1419_g_at
453,141_s_at
454,1420_s_at
455,1421_at
456,1422_g_at
457,1423_at
458,1424_s_at
459,1425_at
460,1426_at
461,1427_g_at
462,1428_at
463,142_at
464,1430_at
465,1431_at
466,1432_s_at
467,1433_g_at
468,1434_at
469,1435_f_at
470,1436_at
471,1437_at
472,1438_at
473,1439_s_at
474,143_s_at
475,1440_s_at
476,1441_s_at
477,1442_at
478,1443_at
479,1444_at
480,1445_at
481,1446_at
482,1447_at
483,1448_at
484,1449_at
485,144_at
486,1450_g_at
487,1451_s_at
488,1452_at
489,1453_at
490,1454_at
491,1455_f_at
492,1456_s_at
493,1457_at
494,1458_at
495,1459_at
496,145_s_at
497,1460_g_at
498,1461_at
499,1462_s_at
500,1463_at
501,1464_at
502,1465_s_at
503,1466_s_at
504,1467_at
505,1468_at
506,1469_at
507,146_at
508,1470_at
509,1471_at
510,1472_g_at
511,1473_s_at
512,1474_s_at
513,1475_s_at
514,1476_s_at
515,1477_s_at
516,1478_at
517,1479_g_at
518,147_at
519,1480_at
520,1481_at
521,1482_g_at
522,1483_at
523,1484_at
524,1485_at
525,1486_at
526,1487_at
527,1488_at
528,1489_s_at
529,148_at
530,1490_at
531,1491_at
532,1492_f_at
533,1493_r_at
534,1494_f_at
535,1495_at
536,1496_at
537,1497_at
538,1498_at
539,1499_at
540,149_at
541,1500_at
542,1501_at
543,1503_at
544,1504_s_at
545,1505_at
546,1506_at
547,1507_s_at
548,1508_at
549,1509_at
550,150_at
551,1510_g_at
552,1511_at
553,1512_at
554,1513_at
555,1514_g_at
556,1515_at
557,1516_g_at
558,1517_at
559,1518_at
560,1519_at
561,151_s_at
562,1520_s_at
563,1521_at
564,1522_at
565,1523_g_at
566,1524_at
567,1525_s_at
568,1526_i_at
569,1527_s_at
570,1528_at
571,1529_at
572,152_f_at
573,1530_g_at
574,1531_at
575,1532_g_at
576,1533_at
577,1534_at
578,1535_at
579,1536_at
580,1537_at
581,1538_s_at
582,1539_at
583,153_f_at
584,1540_f_at
585,1541_f_at
586,1542_at
587,1543_at
588,1544_at
589,1545_g_at
590,1546_at
591,1547_at
592,1548_s_at
593,1549_s_at
594,154_at
595,1550_at
596,1551_g_at
597,1552_i_at
598,1553_r_at
599,1554_f_at
600,1555_f_at
601,1556_at
602,1557_at
603,1558_g_at
604,1559_at
605,155_s_at
606,1560_g_at
607,1561_at
608,1562_g_at
609,1563_s_at
610,1564_at
611,1565_s_at
612,1566_at
613,1567_at
614,1568_s_at
615,1569_r_at
616,156_s_at
617,1570_f_at
618,1571_f_at
619,1572_s_at
620,1573_at
621,1574_s_at
622,1575_at
623,1576_g_at
624,1577_at
625,1578_g_at
626,1579_at
627,157_at
628,1580_f_at
629,1581_s_at
630,1582_at
631,1583_at
632,1584_at
633,1585_at
634,1586_at
635,1587_at
636,1588_at
637,1589_s_at
638,158_at
639,1590_s_at
640,1591_s_at
641,1592_at
642,1593_at
643,1594_at
644,1595_at
645,1596_g_at
646,1597_at
647,1598_g_at
648,1599_at
649,159_at
650,160020_at
651,160021_r_at
652,160022_at
653,160023_at
654,160024_at
655,160025_at
656,160026_at
657,160027_s_at
658,160028_s_at
659,160029_at
660,160030_at
661,160031_at
662,160032_at
663,160033_s_at
664,160034_s_at
665,160035_at
666,160036_at
667,160037_at
668,160038_s_at
669,160039_at
670,160040_at
671,160041_at
672,160042_s_at
673,160043_at
674,160044_g_at
675,1600_at
676,1601_s_at
677,1602_at
678,1603_g_at
679,1604_at
680,1605_g_at
681,1606_at
682,1607_at
683,1608_at
684,1609_g_at
685,160_at
686,1610_s_at
687,1611_s_at
688,1612_s_at
689,1613_s_at
690,1614_s_at
691,1615_at
692,1616_at
693,1617_at
694,1618_at
695,1619_g_at
696,161_at
697,1620_at
698,1621_at
699,1622_at
700,1623_s_at
701,1624_at
702,1625_at
703,1626_at
704,1627_at
705,1628_at
706,1629_s_at
707,162_at
708,1630_s_at
709,1631_at
710,1632_at
711,1633_g_at
712,1634_s_at
713,1635_at
714,1636_g_at
715,1637_at
716,1638_at
717,1639_s_at
718,163_at
719,1640_at
720,1641_s_at
721,1642_at
722,1643_g_at
723,1644_at
724,1645_at
725,1646_at
726,1647_at
727,1648_at
728,1649_at
729,164_at
730,1650_g_at
731,1651_at
732,1652_at
733,1653_at
734,1654_at
735,1655_s_at
736,1656_s_at
737,1657_at
738,1658_g_at
739,1659_s_at
740,165_g_at
741,1660_at
742,1661_i_at
743,1662_r_at
744,1663_at
745,1664_at
746,1665_s_at
747,1666_at
748,1667_s_at
749,1668_s_at
750,1669_at
751,166_at
752,1670_at
