ensembl_gene_id	ensembl_transcript_id	rgd_symbol	entrezgene_id
ENSRNOG00000031780	ENSRNOT00000041720		
ENSRNOG00000030478	ENSRNOT00000040038		
ENSRNOG00000029171	ENSRNOT00000045072		
ENSRNOG00000043866	ENSRNOT00000069133		
ENSRNOG00000032112	ENSRNOT00000049156		
ENSRNOG00000030644	ENSRNOT00000047550		26193
ENSRNOG00000030644	ENSRNOT00000047550		7066247
ENSRNOG00000029301	ENSRNOT00000051008		
ENSRNOG00000033545	ENSRNOT00000049396		
ENSRNOG00000032274	ENSRNOT00000042644		
ENSRNOG00000031033	ENSRNOT00000040993	Mt-nd2	26194
ENSRNOG00000031033	ENSRNOT00000040993	Mt-nd2	7066248
ENSRNOG00000029677	ENSRNOT00000046073		
ENSRNOG00000033932	ENSRNOT00000044320		
ENSRNOG00000032609	ENSRNOT00000048525		
ENSRNOG00000031333	ENSRNOT00000045310		
ENSRNOG00000029954	ENSRNOT00000051860		
ENSRNOG00000034234	ENSRNOT00000050156	Mt-co1	26195
ENSRNOG00000034234	ENSRNOT00000050156	Mt-co1	7066249
ENSRNOG00000032882	ENSRNOT00000040283		
ENSRNOG00000031685	ENSRNOT00000051129		
ENSRNOG00000030371	ENSRNOT00000043693	Mt-co2	26198
ENSRNOG00000030371	ENSRNOT00000043693	Mt-co2	7066250
ENSRNOG00000029070	ENSRNOT00000041978		
ENSRNOG00000033299	ENSRNOT00000046201	Mt-atp8	26196
ENSRNOG00000033299	ENSRNOT00000046201	Mt-atp8	7066251
ENSRNOG00000031979	ENSRNOT00000046108	Mt-atp6	26197
ENSRNOG00000031979	ENSRNOT00000046108	Mt-atp6	7066252
ENSRNOG00000030700	ENSRNOT00000049683	Mt-cox3	26204
ENSRNOG00000030700	ENSRNOT00000049683	Mt-cox3	7066253
ENSRNOG00000029389	ENSRNOT00000048050		
ENSRNOG00000033615	ENSRNOT00000041241		26199
ENSRNOG00000033615	ENSRNOT00000041241		7066254
ENSRNOG00000032320	ENSRNOT00000052103		
ENSRNOG00000031053	ENSRNOT00000044582	Mt-nd4l	26200
ENSRNOG00000031053	ENSRNOT00000044582	Mt-nd4l	7066255
