ENST00000387314	HGNC:7481
ENST00000389680	HGNC:7470
ENST00000387342	HGNC:7500
ENST00000387347	HGNC:7471
ENST00000386347	HGNC:7490
ENST00000361390	HGNC:7455
ENST00000387365	HGNC:7488
ENST00000387372	HGNC:7495
ENST00000387377	HGNC:7492
ENST00000361453	HGNC:7456
ENST00000387382	HGNC:7501
ENST00000387392	HGNC:7475
ENST00000387400	HGNC:7493
ENST00000387405	HGNC:7477
ENST00000387409	HGNC:7502
ENST00000361624	HGNC:7419
ENST00000387416	HGNC:7497
ENST00000387419	HGNC:7478
ENST00000361739	HGNC:7421
ENST00000387421	HGNC:7489
ENST00000361851	HGNC:7415
ENST00000361899	HGNC:7414
ENST00000362079	HGNC:7422
ENST00000387429	HGNC:7486
ENST00000361227	HGNC:7458
ENST00000387439	HGNC:7496
ENST00000361335	HGNC:7460
ENST00000361381	HGNC:7459
ENST00000387441	HGNC:7487
ENST00000387449	HGNC:7498
ENST00000387456	HGNC:7491
ENST00000361567	HGNC:7461
ENST00000361681	HGNC:7462
ENST00000387459	HGNC:7479
ENST00000361789	HGNC:7427
ENST00000387460	HGNC:7499
ENST00000387461	HGNC:7494
ENST00000635602	
ENST00000635506	
ENST00000583224	
ENST00000554978	HGNC:44400
ENST00000327606	HGNC:6930
ENST00000399821	HGNC:6930
ENST00000612633	
ENST00000419962	HGNC:42119
ENST00000293371	HGNC:14669
ENST00000546807	HGNC:14669
ENST00000456047	HGNC:14669
ENST00000474604	HGNC:4937
ENST00000454286	HGNC:4937
ENST00000469995	HGNC:4937
ENST00000413252	HGNC:4937
ENST00000430406	HGNC:38098
ENST00000405131	
ENST00000472927	
ENST00000503569	HGNC:12762
ENST00000506588	HGNC:12762
ENST00000226760	HGNC:12762
ENST00000507765	HGNC:12762
ENST00000506362	HGNC:12762
ENST00000513395	HGNC:12762
ENST00000434739	HGNC:32204
ENST00000618219	HGNC:32204
ENST00000379520	HGNC:18329
ENST00000379519	HGNC:18329
ENST00000261353	HGNC:18329
ENST00000490211	HGNC:18329
ENST00000402003	HGNC:18329
ENST00000402708	HGNC:18329
ENST00000482474	HGNC:18329
ENST00000470120	HGNC:18329
ENST00000492439	HGNC:18329
ENST00000495673	HGNC:18329
ENST00000451711	
ENST00000520120	HGNC:45143
ENST00000577757	HGNC:52043
ENST00000445266	HGNC:21631
ENST00000429598	HGNC:16568
ENST00000486386	
ENST00000442875	HGNC:42021
ENST00000412834	HGNC:48752
ENST00000431359	HGNC:48787
ENST00000452488	HGNC:48787
ENST00000405625	
ENST00000407180	HGNC:49782
ENST00000635373	
ENST00000633163	
ENST00000632586	
ENST00000439938	HGNC:40249
ENST00000530758	HGNC:23057
ENST00000392337	
ENST00000623201	
ENST00000559267	
ENST00000559008	
ENST00000615488	
ENST00000600896	
ENST00000599269	
ENST00000396925	HGNC:2048
ENST00000572154	HGNC:2048
ENST00000328796	HGNC:2048
ENST00000302005	HGNC:5248
ENST00000510621	
ENST00000506819	
ENST00000465755	
ENST00000610586	
ENST00000442478	HGNC:42706
ENST00000415736	
ENST00000478759	
ENST00000399899	HGNC:2050
ENST00000415994	HGNC:37721
ENST00000413867	HGNC:38466
ENST00000279791	HGNC:15294
ENST00000462565	
ENST00000480919	
ENST00000497320	
ENST00000487884	
ENST00000426108	HGNC:42097
ENST00000561207	
ENST00000584728	HGNC:42997
ENST00000631061	HGNC:44106
ENST00000453666	HGNC:44106
ENST00000518854	
ENST00000587312	
ENST00000468416	
ENST00000290354	HGNC:1549
ENST00000559302	
ENST00000619930	
ENST00000420684	
ENST00000603942	
ENST00000484550	
ENST00000479592	
ENST00000471299	
ENST00000492208	
ENST00000615100	
ENST00000306422	HGNC:8518
ENST00000515716	HGNC:8518
ENST00000412637	
ENST00000575497	HGNC:27290
ENST00000428155	HGNC:27290
ENST00000635032	HGNC:27290
ENST00000576807	HGNC:27290
ENST00000597110	
ENST00000560489	
ENST00000502757	HGNC:43436
ENST00000507145	HGNC:43436
ENST00000515282	HGNC:43436
ENST00000510736	HGNC:43436
ENST00000431936	HGNC:37939
ENST00000604983	
ENST00000520800	
ENST00000448086	
ENST00000444815	HGNC:4391
ENST00000572717	
ENST00000440735	HGNC:42766
ENST00000503989	
ENST00000514788	
ENST00000558142	
ENST00000507298	
ENST00000431238	
ENST00000357156	HGNC:15468
ENST00000480759	HGNC:15468
ENST00000300469	HGNC:15468
ENST00000374846	HGNC:15468
ENST00000616656	HGNC:49721
ENST00000503774	HGNC:49721
ENST00000498907	HGNC:1833
ENST00000503266	HGNC:50603
ENST00000512219	HGNC:50603
ENST00000623047	
ENST00000623106	
ENST00000625185	
ENST00000624846	
ENST00000623313	
ENST00000623950	
ENST00000624965	
ENST00000623324	
ENST00000574005	
ENST00000254765	HGNC:17649
ENST00000489134	HGNC:17649
ENST00000474760	HGNC:17649
ENST00000429112	HGNC:17649
ENST00000567533	
ENST00000572263	
ENST00000603497	
ENST00000225823	HGNC:99
ENST00000359872	HGNC:99
ENST00000448983	HGNC:99
ENST00000579816	HGNC:99
ENST00000583395	HGNC:99
ENST00000624081	
ENST00000334151	HGNC:18940
ENST00000573610	
ENST00000497017	
ENST00000478197	HGNC:28191
ENST00000495546	HGNC:28191
ENST00000490033	HGNC:28191
ENST00000450357	HGNC:28191
ENST00000396974	HGNC:28191
ENST00000409545	HGNC:28191
ENST00000409870	HGNC:28191
ENST00000340623	HGNC:28191
ENST00000443551	HGNC:28191
ENST00000526995	HGNC:12036
ENST00000348124	HGNC:12036
ENST00000529150	HGNC:12036
ENST00000608838	HGNC:18105
ENST00000382410	HGNC:18105
ENST00000418591	
ENST00000514988	
ENST00000561950	HGNC:31129
ENST00000496156	HGNC:16917
ENST00000617190	HGNC:16917
ENST00000615587	HGNC:16917
ENST00000472710	HGNC:16917
ENST00000498402	HGNC:16917
ENST00000469150	HGNC:16917
ENST00000343304	HGNC:16917
ENST00000617760	HGNC:16917
ENST00000313766	HGNC:22140
ENST00000477004	HGNC:22140
ENST00000471328	HGNC:22140
ENST00000515795	HGNC:22140
ENST00000512382	HGNC:22140
ENST00000503322	
ENST00000222482	HGNC:15740
ENST00000497388	HGNC:15740
ENST00000470542	HGNC:15740
ENST00000474254	HGNC:15740
