ENSG00000198888	ENST00000361390	MT-ND1	HGNC:7455	P03886
ENSG00000198763	ENST00000361453	MT-ND2	HGNC:7456	P03891
ENSG00000198804	ENST00000361624	MT-CO1	HGNC:7419	P00395
ENSG00000198712	ENST00000361739	MT-CO2	HGNC:7421	P00403
ENSG00000228253	ENST00000361851	MT-ATP8	HGNC:7415	P03928
ENSG00000198899	ENST00000361899	MT-ATP6	HGNC:7414	P00846
ENSG00000198938	ENST00000362079	MT-CO3	HGNC:7422	P00414
ENSG00000198840	ENST00000361227	MT-ND3	HGNC:7458	P03897
ENSG00000212907	ENST00000361335	MT-ND4L	HGNC:7460	P03901
ENSG00000198886	ENST00000361381	MT-ND4	HGNC:7459	P03905
ENSG00000198786	ENST00000361567	MT-ND5	HGNC:7461	P03915
ENSG00000198695	ENST00000361681	MT-ND6	HGNC:7462	P03923
ENSG00000198727	ENST00000361789	MT-CYB	HGNC:7427	P00156
ENSG00000243496	ENST00000474604	HLA-DOB	HGNC:4937	
ENSG00000185231	ENST00000327606	MC2R	HGNC:6930	Q01718
ENSG00000185231	ENST00000399821	MC2R	HGNC:6930	
ENSG00000140478	ENST00000434739	GOLGA6D	HGNC:32204	P0CG33
ENSG00000161634	ENST00000293371	DCD	HGNC:14669	P81605
ENSG00000254999	ENST00000530758	BRK1	HGNC:23057	Q8WUW1
ENSG00000161634	ENST00000546807	DCD	HGNC:14669	P81605
ENSG00000109501	ENST00000503569	WFS1	HGNC:12762	O76024
ENSG00000140478	ENST00000618219	GOLGA6D	HGNC:32204	
ENSG00000161634	ENST00000456047	DCD	HGNC:14669	P81605
ENSG00000169271	ENST00000302005	HSPB3	HGNC:5248	Q12988
ENSG00000184697	ENST00000396925	CLDN6	HGNC:2048	P56747
ENSG00000243496	ENST00000454286	HLA-DOB	HGNC:4937	P13765
ENSG00000184697	ENST00000572154	CLDN6	HGNC:2048	
ENSG00000156284	ENST00000399899	CLDN8	HGNC:2050	P56748
ENSG00000109501	ENST00000226760	WFS1	HGNC:12762	O76024
ENSG00000243496	ENST00000413252	HLA-DOB	HGNC:4937	
ENSG00000184697	ENST00000328796	CLDN6	HGNC:2048	P56747
ENSG00000150269	ENST00000279791	OR5M9	HGNC:15294	Q8NGP3
ENSG00000109501	ENST00000506362	WFS1	HGNC:12762	
ENSG00000119801	ENST00000379520	YPEL5	HGNC:18329	P62699
ENSG00000119801	ENST00000379519	YPEL5	HGNC:18329	P62699
ENSG00000119801	ENST00000261353	YPEL5	HGNC:18329	P62699
ENSG00000119801	ENST00000402003	YPEL5	HGNC:18329	P62699
ENSG00000159231	ENST00000290354	CBR3	HGNC:1549	O75828
ENSG00000171540	ENST00000306422	OTP	HGNC:8518	Q5XKR4
ENSG00000119801	ENST00000402708	YPEL5	HGNC:18329	P62699
ENSG00000245848	ENST00000498907	CEBPA	HGNC:1833	P49715
ENSG00000132429	ENST00000254765	POPDC3	HGNC:17649	Q9HBV1
ENSG00000132429	ENST00000429112	POPDC3	HGNC:17649	
ENSG00000125971	ENST00000357156	DYNLRB1	HGNC:15468	Q9NP97
ENSG00000279493	ENST00000624081			
ENSG00000186977	ENST00000334151	KRTAP19-5	HGNC:18940	Q3LI72
ENSG00000125971	ENST00000300469	DYNLRB1	HGNC:15468	Q9NP97
ENSG00000125971	ENST00000374846	DYNLRB1	HGNC:15468	
ENSG00000187699	ENST00000450357	C2orf88	HGNC:28191	
ENSG00000178591	ENST00000382410	DEFB125	HGNC:18105	Q8N687
ENSG00000187699	ENST00000396974	C2orf88	HGNC:28191	Q9BSF0
ENSG00000187699	ENST00000409545	C2orf88	HGNC:28191	
ENSG00000175104	ENST00000526995	TRAF6	HGNC:12036	Q9Y4K3
ENSG00000187699	ENST00000409870	C2orf88	HGNC:28191	Q9BSF0
ENSG00000175104	ENST00000348124	TRAF6	HGNC:12036	Q9Y4K3
ENSG00000187699	ENST00000340623	C2orf88	HGNC:28191	Q9BSF0
ENSG00000108684	ENST00000225823	ASIC2	HGNC:99	Q16515
ENSG00000187699	ENST00000443551	C2orf88	HGNC:28191	Q9BSF0
ENSG00000108684	ENST00000359872	ASIC2	HGNC:99	Q16515
ENSG00000132128	ENST00000496156	LRRC41	HGNC:16917	
ENSG00000250641	ENST00000503322			
ENSG00000177706	ENST00000313766	FAM20C	HGNC:22140	Q8IXL6
ENSG00000132357	ENST00000254691	CARD6	HGNC:16394	Q9BX69
ENSG00000149043	ENST00000430303	SYT8	HGNC:19264	
ENSG00000132128	ENST00000617190	LRRC41	HGNC:16917	Q15345
ENSG00000132128	ENST00000615587	LRRC41	HGNC:16917	
ENSG00000149043	ENST00000417052	SYT8	HGNC:19264	
ENSG00000132357	ENST00000381677	CARD6	HGNC:16394	
ENSG00000128510	ENST00000222482	CPA4	HGNC:15740	Q9UI42
ENSG00000132128	ENST00000472710	LRRC41	HGNC:16917	
ENSG00000132128	ENST00000498402	LRRC41	HGNC:16917	
ENSG00000146776	ENST00000419735	ATXN7L1	HGNC:22210	Q9ULK2
ENSG00000132128	ENST00000343304	LRRC41	HGNC:16917	Q15345
ENSG00000146776	ENST00000477775	ATXN7L1	HGNC:22210	Q9ULK2
ENSG00000130363	ENST00000367069	RSPH3	HGNC:21054	
ENSG00000132128	ENST00000617760	LRRC41	HGNC:16917	
ENSG00000100591	ENST00000555133	AHSA1	HGNC:1189	
ENSG00000130363	ENST00000449822	RSPH3	HGNC:21054	
ENSG00000146776	ENST00000484475	ATXN7L1	HGNC:22210	
ENSG00000130363	ENST00000252655	RSPH3	HGNC:21054	Q86UC2
ENSG00000263141	ENST00000573680	PAXBP1	HGNC:13579	Q9Y5B6
ENSG00000128510	ENST00000492072	CPA4	HGNC:15740	
ENSG00000146776	ENST00000474433	ATXN7L1	HGNC:22210	
ENSG00000100591	ENST00000216479	AHSA1	HGNC:1189	O95433
ENSG00000128510	ENST00000473956	CPA4	HGNC:15740	
ENSG00000146776	ENST00000472195	ATXN7L1	HGNC:22210	
ENSG00000100591	ENST00000535854	AHSA1	HGNC:1189	O95433
ENSG00000263141	ENST00000574159	PAXBP1	HGNC:13579	Q9Y5B6
ENSG00000128510	ENST00000493259	CPA4	HGNC:15740	
ENSG00000128510	ENST00000486598	CPA4	HGNC:15740	
ENSG00000100591	ENST00000555517	AHSA1	HGNC:1189	
ENSG00000146776	ENST00000318724	ATXN7L1	HGNC:22210	Q9ULK2
ENSG00000128510	ENST00000445470	CPA4	HGNC:15740	Q9UI42
ENSG00000280618	ENST00000625276	CYFIP1	HGNC:13759	
ENSG00000197863	ENST00000356725	ZNF790	HGNC:33114	Q6PG37
ENSG00000100591	ENST00000553374	AHSA1	HGNC:1189	
ENSG00000146776	ENST00000478915	ATXN7L1	HGNC:22210	
ENSG00000197863	ENST00000528994	ZNF790	HGNC:33114	
ENSG00000280618	ENST00000628954	CYFIP1	HGNC:13759	
ENSG00000100591	ENST00000555729	AHSA1	HGNC:1189	
ENSG00000197863	ENST00000586323	ZNF790	HGNC:33114	
ENSG00000149043	ENST00000381968	SYT8	HGNC:19264	Q8NBV8
ENSG00000197863	ENST00000525288	ZNF790	HGNC:33114	
ENSG00000100591	ENST00000556369	AHSA1	HGNC:1189	
ENSG00000197863	ENST00000527645	ZNF790	HGNC:33114	
ENSG00000149043	ENST00000381978	SYT8	HGNC:19264	
ENSG00000280618	ENST00000626546	CYFIP1	HGNC:13759	
ENSG00000149043	ENST00000341958	SYT8	HGNC:19264	
ENSG00000226124	ENST00000416668	FTCDNL1	HGNC:48661	
ENSG00000197863	ENST00000613249	ZNF790	HGNC:33114	Q6PG37
ENSG00000197863	ENST00000614179	ZNF790	HGNC:33114	Q6PG37
ENSG00000280618	ENST00000627204	CYFIP1	HGNC:13759	
