,ensembl_gene_id,affy_hg_u95av2
1,ENSG00000210049,
2,ENSG00000211459,
3,ENSG00000210077,
4,ENSG00000210082,
5,ENSG00000209082,
6,ENSG00000198888,
7,ENSG00000210100,
8,ENSG00000210107,
9,ENSG00000210112,
10,ENSG00000198763,
11,ENSG00000210117,
12,ENSG00000210127,
13,ENSG00000210135,
14,ENSG00000210140,
15,ENSG00000210144,
16,ENSG00000198804,
17,ENSG00000210151,
18,ENSG00000210154,
19,ENSG00000198712,
20,ENSG00000210156,
21,ENSG00000228253,
22,ENSG00000198899,
23,ENSG00000198938,
24,ENSG00000210164,
25,ENSG00000198840,
26,ENSG00000210174,
27,ENSG00000212907,
28,ENSG00000198886,
29,ENSG00000210176,
30,ENSG00000210184,
31,ENSG00000210191,
32,ENSG00000198786,
33,ENSG00000198695,
34,ENSG00000210194,
35,ENSG00000198727,
36,ENSG00000210195,
37,ENSG00000210196,
38,ENSG00000278186,
39,ENSG00000264316,
40,ENSG00000283061,
41,ENSG00000263571,
42,ENSG00000254268,
43,ENSG00000258624,
44,ENSG00000137321,
45,ENSG00000237068,
46,ENSG00000227021,
47,ENSG00000243496,
48,ENSG00000242993,
49,ENSG00000219993,
50,ENSG00000234939,
51,ENSG00000229877,
52,ENSG00000185231,420_at
53,ENSG00000227983,
54,ENSG00000242327,
55,ENSG00000226307,
56,ENSG00000237442,
57,ENSG00000219738,
58,ENSG00000282572,
59,ENSG00000228740,
60,ENSG00000219703,
61,ENSG00000140478,
62,ENSG00000161634,
63,ENSG00000213110,
64,ENSG00000280436,
65,ENSG00000254999,
66,ENSG00000259495,
67,ENSG00000273644,
68,ENSG00000269543,
69,ENSG00000109501,35164_at
70,ENSG00000250421,
71,ENSG00000232325,
72,ENSG00000275480,
73,ENSG00000169271,35982_at
74,ENSG00000169271,528_at
75,ENSG00000234625,
76,ENSG00000184697,
77,ENSG00000109501,
78,ENSG00000226181,
79,ENSG00000242611,
80,ENSG00000224482,
81,ENSG00000156284,33611_g_at
82,ENSG00000156284,33610_at
83,ENSG00000223636,
84,ENSG00000150269,
85,ENSG00000259398,
86,ENSG00000229088,
87,ENSG00000242474,
88,ENSG00000265019,
89,ENSG00000225329,
90,ENSG00000253380,
91,ENSG00000267727,
92,ENSG00000119801,
93,ENSG00000239870,
94,ENSG00000259185,
95,ENSG00000276593,
96,ENSG00000270248,
97,ENSG00000236748,
98,ENSG00000274834,
99,ENSG00000240859,
100,ENSG00000159231,38172_at
101,ENSG00000269553,
102,ENSG00000228146,
103,ENSG00000228568,
104,ENSG00000171540,
105,ENSG00000251372,
106,ENSG00000259531,
107,ENSG00000197258,
108,ENSG00000270397,
109,ENSG00000253206,
110,ENSG00000237571,
111,ENSG00000214077,38580_at
112,ENSG00000225760,
113,ENSG00000262510,
114,ENSG00000248677,
115,ENSG00000259201,
116,ENSG00000249736,
117,ENSG00000228572,
118,ENSG00000248302,
119,ENSG00000245848,32550_r_at
120,ENSG00000280145,
121,ENSG00000262752,
122,ENSG00000250772,
123,ENSG00000261795,
124,ENSG00000132429,
125,ENSG00000261847,
126,ENSG00000271457,
127,ENSG00000125971,
128,ENSG00000279493,
129,ENSG00000186977,
130,ENSG00000262476,
131,ENSG00000239715,
132,ENSG00000187699,
133,ENSG00000178591,
134,ENSG00000236295,
135,ENSG00000175104,1209_at
136,ENSG00000249852,
137,ENSG00000108684,40317_at
138,ENSG00000261524,
139,ENSG00000108684,
140,ENSG00000132128,
141,ENSG00000250641,
142,ENSG00000177706,
143,ENSG00000280618,
144,ENSG00000229240,
145,ENSG00000259832,
146,ENSG00000132357,
147,ENSG00000149043,
148,ENSG00000132128,40807_at
149,ENSG00000261418,
150,ENSG00000240093,
151,ENSG00000128510,
152,ENSG00000223764,
153,ENSG00000146776,34903_at
154,ENSG00000146776,
155,ENSG00000214998,
156,ENSG00000130363,
157,ENSG00000100591,40979_at
158,ENSG00000267580,
159,ENSG00000235425,
160,ENSG00000223838,
161,ENSG00000263141,
162,ENSG00000100591,
163,ENSG00000197863,
164,ENSG00000250834,
165,ENSG00000273860,
166,ENSG00000226124,
167,ENSG00000263342,
168,ENSG00000139899,
169,ENSG00000276885,
170,ENSG00000251260,
171,ENSG00000182888,
172,ENSG00000261196,
173,ENSG00000226754,
174,ENSG00000248397,
175,ENSG00000228433,
176,ENSG00000270422,
177,ENSG00000216676,
178,ENSG00000249894,
179,ENSG00000232446,
180,ENSG00000238220,
181,ENSG00000249721,
182,ENSG00000243779,
183,ENSG00000184206,
184,ENSG00000248104,
185,ENSG00000101446,33686_at
186,ENSG00000164066,
187,ENSG00000280019,
188,ENSG00000105583,
189,ENSG00000164049,
190,ENSG00000264930,
191,ENSG00000277117,
192,ENSG00000236259,
193,ENSG00000277117,31803_at
194,ENSG00000151665,776_at
195,ENSG00000228770,
196,ENSG00000164465,
197,ENSG00000140285,32126_at
198,ENSG00000140285,1380_at
199,ENSG00000140285,1466_s_at
200,ENSG00000140285,
201,ENSG00000125788,
202,ENSG00000134086,1668_s_at
203,ENSG00000134086,40871_at
204,ENSG00000151665,
205,ENSG00000230851,
206,ENSG00000224476,
207,ENSG00000231288,
208,ENSG00000264262,
209,ENSG00000225267,
210,ENSG00000237479,
211,ENSG00000261593,
212,ENSG00000167524,
213,ENSG00000255320,
214,ENSG00000143919,
215,ENSG00000273398,
216,ENSG00000120784,
217,ENSG00000178464,2016_s_at
218,ENSG00000167195,
219,ENSG00000218472,
220,ENSG00000272072,
221,ENSG00000214889,
222,ENSG00000105695,
223,ENSG00000217135,
224,ENSG00000272659,
225,ENSG00000228341,
226,ENSG00000232978,
227,ENSG00000272602,
228,ENSG00000226089,
229,ENSG00000259641,
230,ENSG00000250148,
231,ENSG00000260097,
232,ENSG00000255226,
233,ENSG00000125812,
234,ENSG00000261003,
235,ENSG00000230615,
236,ENSG00000272716,
237,ENSG00000173369,38796_at
238,ENSG00000221938,
239,ENSG00000234576,
240,ENSG00000088782,
241,ENSG00000131873,41447_at
242,ENSG00000276928,
243,ENSG00000131873,
244,ENSG00000236548,
245,ENSG00000237980,
246,ENSG00000281706,
247,ENSG00000228520,
248,ENSG00000232699,
249,ENSG00000215264,
250,ENSG00000227110,
251,ENSG00000206526,
252,ENSG00000262938,
253,ENSG00000254033,
254,ENSG00000243430,
255,ENSG00000243701,
256,ENSG00000280347,
257,ENSG00000163464,1353_g_at
258,ENSG00000163464,1352_at
259,ENSG00000280072,
260,ENSG00000241599,
261,ENSG00000233824,
262,ENSG00000244355,33609_at
263,ENSG00000267213,
264,ENSG00000260951,
265,ENSG00000260497,
266,ENSG00000261385,
267,ENSG00000270612,
268,ENSG00000261231,
269,ENSG00000230254,
270,ENSG00000263140,
271,ENSG00000123570,
272,ENSG00000178966,
273,ENSG00000263553,
274,ENSG00000145757,
275,ENSG00000266279,
276,ENSG00000268336,
277,ENSG00000280217,
278,ENSG00000236830,
279,ENSG00000155158,
280,ENSG00000034239,
281,ENSG00000166479,
282,ENSG00000261325,
283,ENSG00000105695,38558_at
284,ENSG00000231900,
285,ENSG00000153347,
286,ENSG00000272301,
287,ENSG00000235500,
288,ENSG00000236415,
289,ENSG00000232198,
290,ENSG00000048405,
291,ENSG00000258959,
292,ENSG00000271757,
293,ENSG00000272477,
294,ENSG00000215034,
295,ENSG00000255531,
296,ENSG00000052344,634_at
297,ENSG00000223568,
298,ENSG00000242951,
299,ENSG00000213416,
300,ENSG00000271502,
301,ENSG00000260807,
302,ENSG00000239636,
303,ENSG00000261335,
304,ENSG00000052344,
305,ENSG00000232533,
306,ENSG00000161055,
307,ENSG00000277382,
308,ENSG00000277518,
309,ENSG00000232260,
310,ENSG00000249089,
311,ENSG00000254917,
312,ENSG00000115946,33720_at
313,ENSG00000259013,
314,ENSG00000282588,
315,ENSG00000106443,38195_at
316,ENSG00000115946,
317,ENSG00000198090,
318,ENSG00000213954,
319,ENSG00000203808,
320,ENSG00000233757,
321,ENSG00000226995,
322,ENSG00000228460,
323,ENSG00000237476,
324,ENSG00000149136,37739_at
325,ENSG00000249226,
326,ENSG00000241684,
327,ENSG00000236775,
328,ENSG00000260863,
329,ENSG00000263312,
330,ENSG00000230696,
331,ENSG00000219666,
332,ENSG00000096080,
333,ENSG00000155530,
334,ENSG00000261030,
335,ENSG00000239828,
336,ENSG00000149136,
337,ENSG00000270909,
338,ENSG00000236886,
339,ENSG00000099942,415_at
340,ENSG00000099942,35301_at
341,ENSG00000099942,33524_at
342,ENSG00000229991,
343,ENSG00000237207,
344,ENSG00000282765,
345,ENSG00000227597,
346,ENSG00000244528,
347,ENSG00000106443,
348,ENSG00000224871,
349,ENSG00000225234,
350,ENSG00000282774,
351,ENSG00000236547,
352,ENSG00000162385,40036_at
353,ENSG00000198271,
354,ENSG00000188694,
355,ENSG00000258193,
356,ENSG00000279685,
357,ENSG00000163597,
358,ENSG00000224160,
359,ENSG00000112984,
360,ENSG00000162385,
361,ENSG00000248294,
362,ENSG00000265126,
363,ENSG00000241860,
364,ENSG00000135747,
365,ENSG00000226356,
366,ENSG00000234676,
367,ENSG00000235863,35944_at
368,ENSG00000035720,
369,ENSG00000229780,
370,ENSG00000235863,34090_at
371,ENSG00000228491,
372,ENSG00000277236,
373,ENSG00000231937,
374,ENSG00000265964,
375,ENSG00000228997,
376,ENSG00000132965,37099_at
377,ENSG00000132965,
378,ENSG00000229105,
379,ENSG00000244623,
380,ENSG00000231597,
381,ENSG00000231419,
382,ENSG00000258314,
383,ENSG00000229352,
384,ENSG00000235503,
385,ENSG00000168090,40138_at
386,ENSG00000262529,
387,ENSG00000171202,
388,ENSG00000253384,
389,ENSG00000118407,
390,ENSG00000168090,
391,ENSG00000283023,
392,ENSG00000274369,
393,ENSG00000224529,
394,ENSG00000187554,34473_at
395,ENSG00000256973,
396,ENSG00000187554,
397,ENSG00000269984,
398,ENSG00000281839,
399,ENSG00000242732,
400,ENSG00000234197,
401,ENSG00000282567,
402,ENSG00000189269,
403,ENSG00000205029,
404,ENSG00000217950,
405,ENSG00000262880,
406,ENSG00000245281,
407,ENSG00000145020,41120_at
408,ENSG00000114529,
409,ENSG00000267480,
410,ENSG00000214642,
411,ENSG00000163145,
412,ENSG00000186471,
413,ENSG00000251322,
414,ENSG00000183850,
415,ENSG00000198707,38135_at
416,ENSG00000276357,
417,ENSG00000129187,630_at
418,ENSG00000129187,631_g_at
419,ENSG00000180138,
420,ENSG00000238031,
421,ENSG00000101405,32472_at
422,ENSG00000242052,
423,ENSG00000273301,
424,ENSG00000241829,
425,ENSG00000274549,
426,ENSG00000104774,34670_at
427,ENSG00000232742,40555_at
428,ENSG00000232742,1818_at
429,ENSG00000130768,37779_at
430,ENSG00000224971,41185_f_at
431,ENSG00000036054,
432,ENSG00000282024,
433,ENSG00000224805,
434,ENSG00000259956,38476_at
435,ENSG00000267545,
436,ENSG00000228206,
437,ENSG00000276742,
438,ENSG00000277651,
439,ENSG00000279511,
440,ENSG00000273891,
441,ENSG00000228488,
442,ENSG00000273073,776_at
443,ENSG00000130768,
444,ENSG00000215796,
445,ENSG00000232611,
446,ENSG00000267037,
447,ENSG00000258847,
448,ENSG00000248870,
449,ENSG00000261538,
450,ENSG00000235469,
451,ENSG00000225210,
452,ENSG00000230283,
453,ENSG00000234155,
454,ENSG00000250897,
455,ENSG00000179918,39078_at
456,ENSG00000269097,
457,ENSG00000157087,41090_s_at
458,ENSG00000157087,37053_at
459,ENSG00000136997,1936_s_at
460,ENSG00000136997,1827_s_at
461,ENSG00000276856,
462,ENSG00000246541,
463,ENSG00000278418,
464,ENSG00000281228,
465,ENSG00000211528,
466,ENSG00000221774,
467,ENSG00000279015,
468,ENSG00000273623,
469,ENSG00000163625,32769_at
470,ENSG00000264969,
471,ENSG00000281399,
472,ENSG00000207408,
473,ENSG00000222092,
474,ENSG00000266245,
475,ENSG00000274540,
476,ENSG00000277592,
477,ENSG00000199446,
478,ENSG00000263927,
479,ENSG00000277599,38207_at
480,ENSG00000239131,
481,ENSG00000212510,
482,ENSG00000277082,
483,ENSG00000223029,
484,ENSG00000265802,
485,ENSG00000266509,
486,ENSG00000163625,
487,ENSG00000277198,
488,ENSG00000207722,
489,ENSG00000273811,
490,ENSG00000200469,
491,ENSG00000252107,
492,ENSG00000268105,
493,ENSG00000206936,
494,ENSG00000251717,
495,ENSG00000201598,
496,ENSG00000278567,
497,ENSG00000221113,
498,ENSG00000207208,
499,ENSG00000252222,
500,ENSG00000272450,
501,ENSG00000278317,
502,ENSG00000216085,
503,ENSG00000274228,
504,ENSG00000200345,
505,ENSG00000274831,
506,ENSG00000239069,32311_r_at
507,ENSG00000188488,
508,ENSG00000274907,
509,ENSG00000280869,
510,ENSG00000207895,
511,ENSG00000216015,
512,ENSG00000201761,
513,ENSG00000265390,
514,ENSG00000281751,
515,ENSG00000207835,31315_at
516,ENSG00000206765,
517,ENSG00000277727,
518,ENSG00000275877,
519,ENSG00000277724,
520,ENSG00000203436,
521,ENSG00000265538,
522,ENSG00000271079,
523,ENSG00000212550,
524,ENSG00000201326,
525,ENSG00000278405,
526,ENSG00000200394,
527,ENSG00000157992,
528,ENSG00000266740,
529,ENSG00000275891,
530,ENSG00000275753,
531,ENSG00000230763,
532,ENSG00000276640,
533,ENSG00000238890,
534,ENSG00000238886,
535,ENSG00000239595,
536,ENSG00000274004,
537,ENSG00000278274,
538,ENSG00000253063,
539,ENSG00000263978,
540,ENSG00000222997,
541,ENSG00000276313,
542,ENSG00000279810,
543,ENSG00000275001,
544,ENSG00000212335,
545,ENSG00000212560,
546,ENSG00000179909,31390_at
547,ENSG00000201436,
548,ENSG00000250426,
549,ENSG00000253093,
550,ENSG00000221486,
551,ENSG00000207139,
552,ENSG00000266360,
553,ENSG00000264692,
554,ENSG00000202093,
555,ENSG00000157087,
556,ENSG00000240977,
557,ENSG00000206766,
558,ENSG00000278649,
559,ENSG00000275559,
560,ENSG00000221240,
561,ENSG00000201129,
562,ENSG00000221160,
563,ENSG00000252514,
564,ENSG00000274357,
565,ENSG00000133422,35683_at
566,ENSG00000212170,
567,ENSG00000280988,
568,ENSG00000252264,
569,ENSG00000252486,
570,ENSG00000276396,
571,ENSG00000280570,
572,ENSG00000266410,
573,ENSG00000244307,
574,ENSG00000274389,
575,ENSG00000267920,
576,ENSG00000281685,
577,ENSG00000201608,
578,ENSG00000202058,
579,ENSG00000277457,
580,ENSG00000201684,
581,ENSG00000221087,
582,ENSG00000127955,
583,ENSG00000234900,
584,ENSG00000221030,
585,ENSG00000207939,
586,ENSG00000201282,32311_r_at
587,ENSG00000252983,
588,ENSG00000136997,1973_s_at
589,ENSG00000136997,37724_at
590,ENSG00000265559,
591,ENSG00000277279,
592,ENSG00000176715,
593,ENSG00000264314,
594,ENSG00000277419,
595,ENSG00000252142,
596,ENSG00000271615,
597,ENSG00000199803,
598,ENSG00000207499,
599,ENSG00000201990,
600,ENSG00000212422,
601,ENSG00000200235,
602,ENSG00000201296,
603,ENSG00000181511,
604,ENSG00000221664,
605,ENSG00000277023,
606,ENSG00000240235,
607,ENSG00000280919,
608,ENSG00000252943,
609,ENSG00000264679,
610,ENSG00000221187,
611,ENSG00000238936,
612,ENSG00000130201,
613,ENSG00000212398,
614,ENSG00000200537,
615,ENSG00000263467,
616,ENSG00000206618,
617,ENSG00000244003,
618,ENSG00000280999,
619,ENSG00000239122,
620,ENSG00000201372,
621,ENSG00000278936,
622,ENSG00000216011,
623,ENSG00000281605,
624,ENSG00000229720,
625,ENSG00000240116,
626,ENSG00000207732,
627,ENSG00000220999,
628,ENSG00000275451,
629,ENSG00000199381,
630,ENSG00000207960,
631,ENSG00000232900,
632,ENSG00000222570,
633,ENSG00000206718,
634,ENSG00000274060,
635,ENSG00000274980,
636,ENSG00000281001,
637,ENSG00000252688,
638,ENSG00000200102,
639,ENSG00000201346,
640,ENSG00000273519,
641,ENSG00000132874,31587_at
642,ENSG00000276891,
643,ENSG00000200831,
644,ENSG00000207186,
645,ENSG00000212590,
646,ENSG00000200274,
647,ENSG00000221494,
648,ENSG00000202601,
649,ENSG00000270479,
