ensembl_gene_id,ensembl_transcript_id,rgd_symbol,entrezgene_id,chr_name,gene_start,gene_end,strand
ENSRNOG00000031780,ENSRNOT00000041720,,,MT,1,67,1
ENSRNOG00000030478,ENSRNOT00000040038,,,MT,68,1025,1
ENSRNOG00000029171,ENSRNOT00000045072,,,MT,1026,1093,1
ENSRNOG00000043866,ENSRNOT00000069133,,,MT,1094,2664,1
ENSRNOG00000032112,ENSRNOT00000049156,,,MT,2665,2739,1
ENSRNOG00000030644,ENSRNOT00000047550,,26193,MT,2740,3694,1
ENSRNOG00000030644,ENSRNOT00000047550,,7066247,MT,2740,3694,1
ENSRNOG00000029301,ENSRNOT00000051008,,,MT,3695,3763,1
ENSRNOG00000033545,ENSRNOT00000049396,,,MT,3761,3831,-1
ENSRNOG00000032274,ENSRNOT00000042644,,,MT,3835,3903,1
ENSRNOG00000031033,ENSRNOT00000040993,Mt-nd2,26194,MT,3904,4942,1
ENSRNOG00000031033,ENSRNOT00000040993,Mt-nd2,7066248,MT,3904,4942,1
ENSRNOG00000029677,ENSRNOT00000046073,,,MT,4943,5008,1
ENSRNOG00000033932,ENSRNOT00000044320,,,MT,5010,5078,-1
ENSRNOG00000032609,ENSRNOT00000048525,,,MT,5081,5152,-1
ENSRNOG00000031333,ENSRNOT00000045310,,,MT,5185,5252,-1
ENSRNOG00000029954,ENSRNOT00000051860,,,MT,5256,5321,-1
ENSRNOG00000034234,ENSRNOT00000050156,Mt-co1,26195,MT,5323,6867,1
ENSRNOG00000034234,ENSRNOT00000050156,Mt-co1,7066249,MT,5323,6867,1
ENSRNOG00000032882,ENSRNOT00000040283,,,MT,6865,6933,-1
ENSRNOG00000031685,ENSRNOT00000051129,,,MT,6937,7004,1
ENSRNOG00000030371,ENSRNOT00000043693,Mt-co2,26198,MT,7006,7689,1
ENSRNOG00000030371,ENSRNOT00000043693,Mt-co2,7066250,MT,7006,7689,1
ENSRNOG00000029070,ENSRNOT00000041978,,,MT,7693,7756,1
ENSRNOG00000033299,ENSRNOT00000046201,Mt-atp8,26196,MT,7758,7961,1
ENSRNOG00000033299,ENSRNOT00000046201,Mt-atp8,7066251,MT,7758,7961,1
ENSRNOG00000031979,ENSRNOT00000046108,Mt-atp6,26197,MT,7919,8599,1
ENSRNOG00000031979,ENSRNOT00000046108,Mt-atp6,7066252,MT,7919,8599,1
ENSRNOG00000030700,ENSRNOT00000049683,Mt-cox3,26204,MT,8599,9382,1
ENSRNOG00000030700,ENSRNOT00000049683,Mt-cox3,7066253,MT,8599,9382,1
ENSRNOG00000029389,ENSRNOT00000048050,,,MT,9383,9450,1
ENSRNOG00000033615,ENSRNOT00000041241,,26199,MT,9451,9798,1
ENSRNOG00000033615,ENSRNOT00000041241,,7066254,MT,9451,9798,1
ENSRNOG00000032320,ENSRNOT00000052103,,,MT,9800,9867,1
ENSRNOG00000031053,ENSRNOT00000044582,Mt-nd4l,26200,MT,9870,10166,1
ENSRNOG00000031053,ENSRNOT00000044582,Mt-nd4l,7066255,MT,9870,10166,1
ENSRNOG00000029707,ENSRNOT00000042928,Mt-nd4,26201,MT,10160,11537,1
ENSRNOG00000029707,ENSRNOT00000042928,Mt-nd4,7066256,MT,10160,11537,1
ENSRNOG00000033957,ENSRNOT00000047162,,,MT,11538,11605,1
ENSRNOG00000032578,ENSRNOT00000045499,,,MT,11606,11665,1
ENSRNOG00000031667,ENSRNOT00000050396,,,MT,11665,11735,1
ENSRNOG00000029971,ENSRNOT00000048767,Mt-nd5,26202,MT,11736,13565,1
ENSRNOG00000029971,ENSRNOT00000048767,Mt-nd5,7066257,MT,11736,13565,1
ENSRNOG00000029042,ENSRNOT00000051268,Mt-nd6,26203,MT,13543,14061,-1
ENSRNOG00000029042,ENSRNOT00000051268,Mt-nd6,7066258,MT,13543,14061,-1
ENSRNOG00000032997,ENSRNOT00000049806,,,MT,14062,14130,-1
ENSRNOG00000031766,ENSRNOT00000042098,Mt-cytb,26192,MT,14136,15278,1
ENSRNOG00000031766,ENSRNOT00000042098,Mt-cytb,7066259,MT,14136,15278,1
ENSRNOG00000030339,ENSRNOT00000040611,,,MT,15280,15346,1
ENSRNOG00000029145,ENSRNOT00000044639,,,MT,15348,15415,-1
ENSRNOG00000051842,ENSRNOT00000077717,,,5,153909158,153909227,-1
ENSRNOG00000054001,ENSRNOT00000080806,,,5,120176245,120176347,-1
ENSRNOG00000052446,ENSRNOT00000078595,,,5,116944883,116945015,1
