ensembl_gene_id,illumina_humanht_12_v4
ENSG00000210049,ILMN_3310491
ENSG00000211459,
ENSG00000210077,
ENSG00000210082,
ENSG00000209082,
ENSG00000198888,
ENSG00000210100,
ENSG00000210107,
ENSG00000210112,
ENSG00000198763,
ENSG00000210117,
ENSG00000210127,
ENSG00000210135,
ENSG00000210140,
ENSG00000210144,
ENSG00000198804,
ENSG00000210151,
ENSG00000210154,
ENSG00000198712,
ENSG00000210156,
ENSG00000228253,
ENSG00000198899,
ENSG00000198938,
ENSG00000210164,
ENSG00000198840,
ENSG00000210174,
ENSG00000212907,
ENSG00000198886,
ENSG00000210176,
ENSG00000210184,
ENSG00000210191,
ENSG00000198786,
ENSG00000198695,ILMN_3308961
ENSG00000210194,ILMN_3308961
ENSG00000198727,
ENSG00000210195,
ENSG00000210196,
ENSG00000249883,
ENSG00000186132,
ENSG00000227650,
ENSG00000182584,ILMN_1733531
ENSG00000174799,
ENSG00000174799,ILMN_1693766
ENSG00000248106,
ENSG00000234160,
ENSG00000262767,
ENSG00000251025,
ENSG00000116691,
ENSG00000116691,ILMN_1803911
ENSG00000254352,
ENSG00000204982,
ENSG00000228506,
ENSG00000149609,ILMN_1688258
ENSG00000262703,
ENSG00000110104,ILMN_1792681
ENSG00000110104,
ENSG00000268163,
ENSG00000268163,ILMN_1742046
ENSG00000121236,ILMN_1656910
ENSG00000121236,ILMN_1654786
ENSG00000121236,ILMN_1791099
ENSG00000121236,
ENSG00000248522,ILMN_3210416
ENSG00000248522,ILMN_3291253
ENSG00000254357,
ENSG00000140807,ILMN_1692674
ENSG00000140807,
ENSG00000184961,ILMN_3248487
ENSG00000184961,ILMN_3247123
ENSG00000163938,ILMN_3243049
ENSG00000163938,
ENSG00000163938,ILMN_1790659
ENSG00000163938,ILMN_3236052
ENSG00000163645,ILMN_1730601
ENSG00000163645,
ENSG00000225123,
ENSG00000235830,
ENSG00000232768,
ENSG00000233576,
ENSG00000243305,
ENSG00000240364,
ENSG00000276975,ILMN_1750633
ENSG00000276975,ILMN_1658689
ENSG00000276975,ILMN_3239367
ENSG00000276975,ILMN_2413212
ENSG00000276975,ILMN_1912334
ENSG00000276975,ILMN_1700366
ENSG00000276975,ILMN_1733287
ENSG00000276975,ILMN_1697764
ENSG00000276975,ILMN_1797544
ENSG00000276975,ILMN_1691217
ENSG00000276975,ILMN_1743138
ENSG00000276975,ILMN_1703599
ENSG00000276975,
ENSG00000267253,ILMN_3187254
ENSG00000259969,
ENSG00000100926,ILMN_2333440
ENSG00000100926,ILMN_1709334
ENSG00000100926,ILMN_1737164
ENSG00000100926,ILMN_2253300
ENSG00000114107,ILMN_1741350
ENSG00000114107,
ENSG00000262497,ILMN_1686425
ENSG00000240478,
ENSG00000282709,
ENSG00000213121,
ENSG00000232846,
ENSG00000263159,
ENSG00000256294,
ENSG00000256294,ILMN_1674064
ENSG00000144908,ILMN_1802167
ENSG00000144908,
ENSG00000168917,
ENSG00000168917,ILMN_1728202
ENSG00000103404,ILMN_1661156
ENSG00000103404,
ENSG00000258941,
ENSG00000271537,ILMN_3290288
ENSG00000271537,ILMN_3200101
ENSG00000278885,
ENSG00000233333,
ENSG00000107779,ILMN_1706957
ENSG00000107779,
ENSG00000254206,ILMN_1768311
ENSG00000254206,ILMN_2208802
ENSG00000254206,ILMN_1702809
ENSG00000254206,ILMN_3243664
ENSG00000254206,ILMN_1656868
ENSG00000241048,
ENSG00000102265,ILMN_1711566
ENSG00000102265,
ENSG00000267477,
ENSG00000150977,ILMN_1678490
ENSG00000150977,ILMN_1668743
ENSG00000171421,ILMN_1800197
ENSG00000147604,ILMN_1663415
ENSG00000147604,ILMN_3266411
ENSG00000147604,ILMN_3241834
ENSG00000251171,
ENSG00000271609,
ENSG00000110324,ILMN_1652825
ENSG00000110324,
ENSG00000061676,ILMN_2322552
ENSG00000061676,
ENSG00000260969,
ENSG00000237659,ILMN_3238353
ENSG00000226334,
ENSG00000244681,ILMN_1765670
ENSG00000244681,
ENSG00000235189,
ENSG00000132781,ILMN_2336970
ENSG00000132781,
ENSG00000132781,ILMN_2277537
ENSG00000251220,
ENSG00000260511,
ENSG00000232647,
ENSG00000174226,ILMN_1766770
ENSG00000174226,
ENSG00000175497,ILMN_1805039
ENSG00000175497,ILMN_1778425
ENSG00000175497,
ENSG00000109079,
ENSG00000109079,ILMN_1655429
ENSG00000267735,
ENSG00000231810,
ENSG00000187258,
ENSG00000187258,ILMN_1704206
ENSG00000187258,ILMN_1720468
ENSG00000187258,ILMN_1654534
ENSG00000256577,
ENSG00000260897,
ENSG00000138750,ILMN_1771835
ENSG00000138750,ILMN_2061405
ENSG00000138750,
ENSG00000204529,
ENSG00000248749,
ENSG00000211785,
ENSG00000243072,
ENSG00000259306,
ENSG00000148357,ILMN_1688788
ENSG00000148357,
ENSG00000269385,
ENSG00000164796,ILMN_1730996
ENSG00000164796,ILMN_1659781
ENSG00000164796,ILMN_2319228
ENSG00000164796,
ENSG00000278259,ILMN_1685645
ENSG00000278259,ILMN_1753286
ENSG00000278259,
ENSG00000231742,
ENSG00000187736,ILMN_1696214
ENSG00000187736,
ENSG00000259544,
ENSG00000230769,ILMN_3268214
ENSG00000148832,ILMN_2278265
ENSG00000148832,ILMN_2363058
ENSG00000148832,ILMN_1765116
ENSG00000148832,
ENSG00000102181,ILMN_2388142
ENSG00000102181,ILMN_1700681
ENSG00000102181,
ENSG00000225424,
ENSG00000275997,
ENSG00000276332,
ENSG00000189149,ILMN_1713983
ENSG00000241973,ILMN_1655177
ENSG00000241973,ILMN_3229812
ENSG00000241973,ILMN_3232529
ENSG00000241973,ILMN_1790875
ENSG00000241973,ILMN_1734434
ENSG00000241973,
ENSG00000149179,
ENSG00000149179,ILMN_2341487
ENSG00000149179,ILMN_1796440
ENSG00000149179,ILMN_1724532
ENSG00000231617,
ENSG00000230449,
ENSG00000256827,
ENSG00000261330,
ENSG00000184774,ILMN_3208464
ENSG00000171984,
ENSG00000171984,ILMN_1793002
ENSG00000254231,
ENSG00000154309,
ENSG00000154309,ILMN_1695745
ENSG00000250105,
ENSG00000220515,
ENSG00000214107,ILMN_2413236
ENSG00000214107,ILMN_2413231
ENSG00000275003,
ENSG00000235151,
ENSG00000235147,
ENSG00000253271,
ENSG00000234229,
ENSG00000165280,ILMN_1777220
ENSG00000165280,ILMN_1758728
ENSG00000165280,
ENSG00000259276,
ENSG00000143379,
ENSG00000143379,ILMN_1718207
ENSG00000257283,ILMN_1831363
ENSG00000258951,
ENSG00000269881,
ENSG00000109184,ILMN_2389429
ENSG00000109184,
ENSG00000109184,ILMN_1801403
ENSG00000168389,ILMN_1789638
ENSG00000168389,
ENSG00000198580,ILMN_1769151
ENSG00000175741,ILMN_1739045
ENSG00000271568,
ENSG00000144554,ILMN_1657634
ENSG00000144554,ILMN_1712122
ENSG00000144554,
ENSG00000144554,ILMN_2235137
ENSG00000226220,ILMN_1710876
ENSG00000171786,ILMN_1805457
ENSG00000259553,
ENSG00000280405,
ENSG00000169862,ILMN_1716875
ENSG00000169862,
ENSG00000254219,
ENSG00000223511,
ENSG00000234622,
ENSG00000158869,
ENSG00000226705,
ENSG00000158473,ILMN_1719433
ENSG00000213971,
ENSG00000213971,ILMN_3275267
ENSG00000280172,ILMN_3276002
ENSG00000280172,ILMN_3199529
ENSG00000229241,
ENSG00000271789,
ENSG00000261862,
ENSG00000231135,
ENSG00000229522,
ENSG00000248415,ILMN_3267451
ENSG00000256013,
ENSG00000233825,
ENSG00000277763,
ENSG00000236587,
ENSG00000239706,
ENSG00000250075,
ENSG00000162576,ILMN_1682778
ENSG00000162576,ILMN_2068257
ENSG00000197165,ILMN_2400372
ENSG00000197165,ILMN_2336133
ENSG00000197165,ILMN_1716367
ENSG00000197165,ILMN_1790159
ENSG00000267322,ILMN_3245822
ENSG00000267322,
ENSG00000163607,ILMN_2286514
ENSG00000163607,ILMN_1660698
ENSG00000163607,ILMN_2393243
ENSG00000163607,
ENSG00000279103,
ENSG00000182968,ILMN_1716070
ENSG00000234306,
ENSG00000108654,ILMN_1805344
ENSG00000108654,
ENSG00000283047,ILMN_3236543
ENSG00000229398,
ENSG00000279453,
ENSG00000279467,
ENSG00000235533,
ENSG00000265096,
ENSG00000280422,
ENSG00000203864,ILMN_1723256
ENSG00000273353,
ENSG00000230454,
ENSG00000166908,
ENSG00000166908,ILMN_1787308
ENSG00000231889,
ENSG00000231889,ILMN_1815804
ENSG00000282170,
ENSG00000144579,ILMN_1681678
ENSG00000144579,ILMN_1707206
ENSG00000144579,ILMN_1728163
ENSG00000144579,ILMN_3308093
ENSG00000267291,
ENSG00000227291,
ENSG00000280025,
ENSG00000234647,
ENSG00000186234,ILMN_3231314
ENSG00000186234,ILMN_3217276
ENSG00000188676,ILMN_1670572
ENSG00000188676,ILMN_3237462
ENSG00000188676,
ENSG00000205636,
ENSG00000258660,
ENSG00000003137,ILMN_1812297
ENSG00000003137,
ENSG00000140941,
ENSG00000140941,ILMN_1703244
ENSG00000125388,ILMN_2375739
ENSG00000125388,ILMN_2405400
ENSG00000125388,
ENSG00000260445,
ENSG00000282651,
ENSG00000213177,
ENSG00000170468,ILMN_1711543
ENSG00000259142,
ENSG00000223460,
ENSG00000166341,ILMN_1739640
ENSG00000232924,
ENSG00000215183,ILMN_2115135
ENSG00000258556,
ENSG00000148335,ILMN_2170515
ENSG00000148335,ILMN_1776598
ENSG00000148335,
ENSG00000033178,ILMN_1675085
ENSG00000033178,
ENSG00000237801,
ENSG00000176973,ILMN_1804117
ENSG00000109066,
ENSG00000109066,ILMN_1677736
ENSG00000144339,ILMN_1730645
ENSG00000144339,
ENSG00000198870,ILMN_1745713
ENSG00000198870,
ENSG00000227176,ILMN_3266666
ENSG00000227176,ILMN_3189518
ENSG00000234152,
ENSG00000132938,ILMN_1753169
ENSG00000132938,ILMN_1677347
ENSG00000132938,
ENSG00000268287,
ENSG00000188677,ILMN_1787919
ENSG00000188677,ILMN_1667592
ENSG00000188677,ILMN_1676173
ENSG00000188677,
ENSG00000139132,ILMN_1698728
ENSG00000139132,
ENSG00000171992,ILMN_1711491
ENSG00000171992,
ENSG00000262480,
ENSG00000276780,
ENSG00000277540,
ENSG00000111875,ILMN_1714737
ENSG00000111875,
ENSG00000258505,
ENSG00000174325,ILMN_1766986
ENSG00000218350,ILMN_1666713
ENSG00000224323,
ENSG00000279034,
ENSG00000223590,
ENSG00000255252,
ENSG00000043355,ILMN_1696339
ENSG00000228592,
ENSG00000273106,
ENSG00000181915,ILMN_1690352
ENSG00000273724,
ENSG00000272250,
ENSG00000143450,
ENSG00000262292,
ENSG00000271625,ILMN_3284673
ENSG00000224874,
ENSG00000227653,ILMN_1672024
ENSG00000269925,
ENSG00000101981,
ENSG00000101981,ILMN_1810651
ENSG00000100297,
ENSG00000254291,
ENSG00000235033,
ENSG00000278362,
ENSG00000282327,
ENSG00000160588,ILMN_1795739
ENSG00000160588,
ENSG00000115255,ILMN_1697460
ENSG00000115255,
ENSG00000225551,
ENSG00000267780,
ENSG00000258881,
ENSG00000250659,
ENSG00000257698,
ENSG00000280376,
ENSG00000253149,
ENSG00000275243,
ENSG00000273580,
