Ensembl Gene ID	Ensembl Transcript ID	Affy HG U95AV2 probeset
ENSG00000210049	ENST00000387314	
ENSG00000211459	ENST00000389680	
ENSG00000210077	ENST00000387342	
ENSG00000210082	ENST00000387347	
ENSG00000209082	ENST00000386347	
ENSG00000198888	ENST00000361390	
ENSG00000210100	ENST00000387365	
ENSG00000210107	ENST00000387372	
ENSG00000210112	ENST00000387377	
ENSG00000198763	ENST00000361453	
ENSG00000210117	ENST00000387382	
ENSG00000210127	ENST00000387392	
ENSG00000210135	ENST00000387400	
ENSG00000210140	ENST00000387405	
ENSG00000210144	ENST00000387409	
ENSG00000198804	ENST00000361624	
ENSG00000210151	ENST00000387416	
ENSG00000210154	ENST00000387419	
ENSG00000198712	ENST00000361739	
ENSG00000210156	ENST00000387421	
ENSG00000228253	ENST00000361851	
ENSG00000198899	ENST00000361899	
ENSG00000198938	ENST00000362079	
ENSG00000210164	ENST00000387429	
ENSG00000198840	ENST00000361227	
ENSG00000210174	ENST00000387439	
ENSG00000212907	ENST00000361335	
ENSG00000198886	ENST00000361381	
ENSG00000210176	ENST00000387441	
ENSG00000210184	ENST00000387449	
ENSG00000210191	ENST00000387456	
ENSG00000198786	ENST00000361567	
ENSG00000198695	ENST00000361681	
ENSG00000210194	ENST00000387459	
ENSG00000198727	ENST00000361789	
ENSG00000210195	ENST00000387460	
ENSG00000210196	ENST00000387461	
ENSG00000278186	ENST00000612633	
ENSG00000264316	ENST00000577757	
ENSG00000283061	ENST00000635602	
ENSG00000263571	ENST00000583224	
ENSG00000254268	ENST00000520120	
ENSG00000258624	ENST00000554978	
ENSG00000137321	ENST00000445266	
ENSG00000237068	ENST00000429598	
ENSG00000227021	ENST00000451711	
ENSG00000243496	ENST00000474604	
ENSG00000283061	ENST00000635506	
ENSG00000242993	ENST00000472927	
ENSG00000219993	ENST00000405131	
ENSG00000234939	ENST00000419962	
ENSG00000229877	ENST00000430406	
ENSG00000185231	ENST00000327606	420_at
ENSG00000227983	ENST00000442875	
ENSG00000242327	ENST00000486386	
ENSG00000226307	ENST00000412834	
ENSG00000237442	ENST00000431359	
ENSG00000219738	ENST00000405625	
ENSG00000237442	ENST00000452488	
ENSG00000282572	ENST00000635373	
ENSG00000185231	ENST00000399821	420_at
ENSG00000228740	ENST00000439938	
ENSG00000219703	ENST00000407180	
ENSG00000282572	ENST00000633163	
ENSG00000140478	ENST00000434739	
ENSG00000282572	ENST00000632586	
ENSG00000161634	ENST00000293371	
ENSG00000213110	ENST00000392337	
ENSG00000280436	ENST00000623201	
ENSG00000254999	ENST00000530758	
ENSG00000259495	ENST00000559267	
ENSG00000273644	ENST00000615488	
ENSG00000269543	ENST00000600896	
ENSG00000259495	ENST00000559008	
ENSG00000161634	ENST00000546807	
ENSG00000269543	ENST00000599269	
ENSG00000109501	ENST00000503569	35164_at
ENSG00000250421	ENST00000510621	
ENSG00000140478	ENST00000618219	
ENSG00000232325	ENST00000465755	
ENSG00000161634	ENST00000456047	
ENSG00000275480	ENST00000610586	
ENSG00000169271	ENST00000302005	35982_at
ENSG00000169271	ENST00000302005	528_at
ENSG00000250421	ENST00000506819	
ENSG00000234625	ENST00000442478	
ENSG00000184697	ENST00000396925	
ENSG00000109501	ENST00000506588	
ENSG00000226181	ENST00000415736	
ENSG00000243496	ENST00000454286	
ENSG00000242611	ENST00000478759	
ENSG00000184697	ENST00000572154	
ENSG00000224482	ENST00000415994	
ENSG00000156284	ENST00000399899	33611_g_at
ENSG00000156284	ENST00000399899	33610_at
ENSG00000243496	ENST00000469995	
ENSG00000109501	ENST00000226760	35164_at
ENSG00000223636	ENST00000413867	
ENSG00000243496	ENST00000413252	
ENSG00000184697	ENST00000328796	
ENSG00000150269	ENST00000279791	
ENSG00000109501	ENST00000507765	35164_at
ENSG00000259398	ENST00000561207	
ENSG00000229088	ENST00000426108	
ENSG00000242474	ENST00000462565	
ENSG00000109501	ENST00000506362	
ENSG00000242474	ENST00000480919	
ENSG00000265019	ENST00000584728	
ENSG00000225329	ENST00000631061	
ENSG00000109501	ENST00000513395	
ENSG00000242474	ENST00000497320	
ENSG00000225329	ENST00000453666	
ENSG00000253380	ENST00000518854	
ENSG00000267727	ENST00000587312	
ENSG00000119801	ENST00000379520	
ENSG00000242474	ENST00000487884	
ENSG00000239870	ENST00000468416	
ENSG00000119801	ENST00000379519	
ENSG00000259185	ENST00000559302	
ENSG00000276593	ENST00000619930	
ENSG00000270248	ENST00000603942	
ENSG00000119801	ENST00000261353	
ENSG00000236748	ENST00000420684	
ENSG00000274834	ENST00000615100	
ENSG00000240859	ENST00000484550	
ENSG00000119801	ENST00000490211	
ENSG00000119801	ENST00000402003	
ENSG00000240859	ENST00000479592	
ENSG00000159231	ENST00000290354	38172_at
ENSG00000269553	ENST00000597110	
ENSG00000228146	ENST00000575497	
ENSG00000228568	ENST00000412637	
ENSG00000171540	ENST00000306422	
ENSG00000240859	ENST00000471299	
ENSG00000119801	ENST00000402708	
ENSG00000251372	ENST00000502757	
ENSG00000240859	ENST00000492208	
ENSG00000171540	ENST00000515716	
ENSG00000259531	ENST00000560489	
ENSG00000197258	ENST00000431936	
ENSG00000119801	ENST00000482474	
ENSG00000251372	ENST00000507145	
ENSG00000270397	ENST00000604983	
ENSG00000253206	ENST00000520800	
ENSG00000119801	ENST00000470120	
ENSG00000251372	ENST00000515282	
ENSG00000237571	ENST00000448086	
ENSG00000119801	ENST00000492439	
ENSG00000214077	ENST00000444815	38580_at
ENSG00000228146	ENST00000428155	
ENSG00000225760	ENST00000440735	
ENSG00000251372	ENST00000510736	
ENSG00000262510	ENST00000572717	
ENSG00000248677	ENST00000503989	
ENSG00000119801	ENST00000495673	
ENSG00000228146	ENST00000635032	
ENSG00000259201	ENST00000558142	
ENSG00000248677	ENST00000514788	
ENSG00000228146	ENST00000576807	
ENSG00000249736	ENST00000507298	
ENSG00000228572	ENST00000431238	
ENSG00000248302	ENST00000616656	
ENSG00000248302	ENST00000503774	
ENSG00000245848	ENST00000498907	32550_r_at
ENSG00000280145	ENST00000623047	
ENSG00000262752	ENST00000574005	
ENSG00000280145	ENST00000623106	
ENSG00000280145	ENST00000625185	
ENSG00000250772	ENST00000503266	
ENSG00000280145	ENST00000624846	
ENSG00000261795	ENST00000567533	
ENSG00000250772	ENST00000512219	
ENSG00000280145	ENST00000623313	
ENSG00000132429	ENST00000254765	
ENSG00000280145	ENST00000623950	
ENSG00000261847	ENST00000572263	
ENSG00000280145	ENST00000624965	
ENSG00000132429	ENST00000489134	
ENSG00000271457	ENST00000603497	
ENSG00000280145	ENST00000623324	
ENSG00000132429	ENST00000474760	
ENSG00000132429	ENST00000429112	
ENSG00000125971	ENST00000357156	
ENSG00000279493	ENST00000624081	
ENSG00000186977	ENST00000334151	
ENSG00000262476	ENST00000573610	
ENSG00000125971	ENST00000480759	
ENSG00000239715	ENST00000497017	
ENSG00000125971	ENST00000300469	
